week_start,count_MSM,count_MSM_nonMSM,prop_msm,ci_lower_msm,ci_upper_msm,count_male,count_total,prop_male,ci_lower_male,ci_upper_male
2022/5/2,8,8,1,1,1,NA,NA,NA,NA,NA
2022/5/9,25,25,1,1,1,33,37,0.891891892,0.745824064,0.969748035
2022/5/16,197,198,0.994949495,0.972183107,0.99987214,146,148,0.986486486,0.952038634,0.998359241
2022/5/23,272,280,0.971428571,0.94448125,0.98758585,369,371,0.994609164,0.980663087,0.999346477
2022/5/30,386,393,0.982188295,0.963646879,0.992809532,573,576,0.994791667,0.984855074,0.998924626
2022/6/6,505,518,0.974903475,0.95746651,0.986571006,712,716,0.994413408,0.985758348,0.998475807
2022/6/13,725,734,0.98773842,0.976851783,0.994378314,1238,1243,0.995977474,0.990637924,0.998692646
2022/6/20,835,846,0.986997636,0.976854507,0.99349188,1789,1796,0.99610245,0.991986143,0.998431591
2022/6/27,987,1008,0.979166667,0.96832961,0.987058705,2095,2114,0.991012299,0.98600003,0.994580392
2022/7/4,1192,1226,0.972267537,0.961460845,0.980719679,2699,2716,0.993740795,0.989997263,0.99634968
2022/7/11,1349,1390,0.970503597,0.960196012,0.9787515,2910,2936,0.991144414,0.987051263,0.994207315
2022/7/18,1331,1397,0.952755906,0.940283283,0.963276014,3091,3134,0.986279515,0.981562666,0.990053098
2022/7/25,1359,1471,0.923861319,0.909104134,0.936897557,3253,3348,0.971624851,0.965422854,0.976983511
2022/8/1,1486,1660,0.895180723,0.879438666,0.909509034,3439,3569,0.963575231,0.956897167,0.969479294
2022/8/8,1349,1515,0.890429043,0.873607454,0.905719286,3142,3258,0.964395335,0.95744816,0.970491748
2022/8/15,1267,1469,0.862491491,0.843815285,0.879704506,2768,2885,0.959445407,0.951593423,0.96634698
2022/8/22,1176,1423,0.82642305,0.805725119,0.845763362,2839,2988,0.950133869,0.941709922,0.957661712
2022/8/29,1048,1255,0.835059761,0.813349136,0.855187417,2553,2677,0.953679492,0.945020438,0.961327964
2022/9/5,1041,1206,0.86318408,0.842488137,0.882090107,2203,2302,0.956993918,0.947888303,0.964911784
2022/9/12,899,1080,0.832407407,0.80877047,0.854216599,2115,2229,0.948855989,0.938879618,0.957630095
2022/9/19,803,959,0.837330553,0.812422526,0.860146052,1750,1817,0.963126032,0.953405769,0.971311127
2022/9/26,561,651,0.861751152,0.832827239,0.88734435,1359,1439,0.944405837,0.931282987,0.955674478
2022/10/3,433,504,0.859126984,0.825656076,0.888310346,985,1046,0.9416826,0.925715845,0.9551017
2022/10/10,205,245,0.836734694,0.784384491,0.88072629,543,578,0.939446367,0.91678766,0.957463425
2022/10/17,205,245,0.836734694,0.784384491,0.88072629,75,81,0.925925926,0.845713831,0.972331639
2022/10/24,205,245,0.836734694,0.784384491,0.88072629,NA,NA,NA,NA,NA
2022/10/31,205,245,0.836734694,0.784384491,0.88072629,NA,NA,NA,NA,NA
