country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,total_deaths,new_confirmed_cases,new_probable_cases,new_deaths,reference_date_in_num
Benin,BEN,African Region,2022/6/15,3,0,0,3,0,0,44727
Benin,BEN,African Region,2022/7/18,3,0,0,0,0,0,44760
Benin,BEN,African Region,2022/7/19,3,0,0,0,0,0,44761
Benin,BEN,African Region,2022/7/20,3,0,0,0,0,0,44762
Benin,BEN,African Region,2022/7/21,3,0,0,0,0,0,44763
Benin,BEN,African Region,2022/7/22,3,0,0,0,0,0,44764
Benin,BEN,African Region,2022/7/25,3,0,0,0,0,0,44767
Benin,BEN,African Region,2022/7/26,3,0,0,0,0,0,44768
Benin,BEN,African Region,2022/7/27,3,0,0,0,0,0,44769
Benin,BEN,African Region,2022/7/28,3,0,0,0,0,0,44770
Benin,BEN,African Region,2022/7/29,3,0,0,0,0,0,44771
Benin,BEN,African Region,2022/8/1,3,0,0,0,0,0,44774
Benin,BEN,African Region,2022/8/2,3,0,0,0,0,0,44775
Benin,BEN,African Region,2022/8/3,3,0,0,0,0,0,44776
Benin,BEN,African Region,2022/8/4,3,0,0,0,0,0,44777
Benin,BEN,African Region,2022/8/5,3,0,0,0,0,0,44778
Benin,BEN,African Region,2022/8/8,3,0,0,0,0,0,44781
Benin,BEN,African Region,2022/8/9,3,0,0,0,0,0,44782
Benin,BEN,African Region,2022/8/10,3,0,0,0,0,0,44783
Benin,BEN,African Region,2022/8/11,3,0,0,0,0,0,44784
Benin,BEN,African Region,2022/8/12,3,0,0,0,0,0,44785
Benin,BEN,African Region,2022/8/15,3,0,0,0,0,0,44788
Benin,BEN,African Region,2022/8/16,3,0,0,0,0,0,44789
Benin,BEN,African Region,2022/8/17,3,0,0,0,0,0,44790
Benin,BEN,African Region,2022/8/18,3,0,0,0,0,0,44791
Benin,BEN,African Region,2022/8/19,3,0,0,0,0,0,44792
Benin,BEN,African Region,2022/8/22,3,0,0,0,0,0,44795
Benin,BEN,African Region,2022/8/23,3,0,0,0,0,0,44796
Benin,BEN,African Region,2022/8/24,3,0,0,0,0,0,44797
Benin,BEN,African Region,2022/8/25,3,0,0,0,0,0,44798
Benin,BEN,African Region,2022/8/26,3,0,0,0,0,0,44799
Benin,BEN,African Region,2022/8/29,3,0,0,0,0,0,44802
Benin,BEN,African Region,2022/8/30,3,0,0,0,0,0,44803
Benin,BEN,African Region,2022/8/31,3,0,0,0,0,0,44804
Benin,BEN,African Region,2022/9/1,3,0,0,0,0,0,44805
Benin,BEN,African Region,2022/9/2,3,0,0,0,0,0,44806
Benin,BEN,African Region,2022/9/5,3,0,0,0,0,0,44809
Benin,BEN,African Region,2022/9/6,3,0,0,0,0,0,44810
Benin,BEN,African Region,2022/9/7,3,0,0,0,0,0,44811
Benin,BEN,African Region,2022/9/8,3,0,0,0,0,0,44812
Benin,BEN,African Region,2022/9/9,3,0,0,0,0,0,44813
Benin,BEN,African Region,2022/9/12,3,0,0,0,0,0,44816
Benin,BEN,African Region,2022/9/13,3,0,0,0,0,0,44817
Benin,BEN,African Region,2022/9/14,3,0,0,0,0,0,44818
Benin,BEN,African Region,2022/9/15,3,0,0,0,0,0,44819
Cameroon,CMR,African Region,2022/6/13,3,0,0,3,0,0,44725
Cameroon,CMR,African Region,2022/7/3,4,0,0,1,0,0,44745
Cameroon,CMR,African Region,2022/7/12,7,0,0,3,0,0,44754
Cameroon,CMR,African Region,2022/7/18,7,0,0,0,0,0,44760
Cameroon,CMR,African Region,2022/7/19,7,0,0,0,0,0,44761
Cameroon,CMR,African Region,2022/7/20,7,0,0,0,0,0,44762
Cameroon,CMR,African Region,2022/7/21,7,0,0,0,0,0,44763
Cameroon,CMR,African Region,2022/7/22,7,0,0,0,0,0,44764
Cameroon,CMR,African Region,2022/7/25,7,0,0,0,0,0,44767
Cameroon,CMR,African Region,2022/7/26,7,0,0,0,0,0,44768
Cameroon,CMR,African Region,2022/7/27,7,0,0,0,0,0,44769
Cameroon,CMR,African Region,2022/7/28,7,0,0,0,0,0,44770
Cameroon,CMR,African Region,2022/7/29,7,0,0,0,0,0,44771
Cameroon,CMR,African Region,2022/8/1,7,0,0,0,0,0,44774
Cameroon,CMR,African Region,2022/8/2,7,0,0,0,0,0,44775
Cameroon,CMR,African Region,2022/8/3,7,0,0,0,0,0,44776
Cameroon,CMR,African Region,2022/8/4,7,0,0,0,0,0,44777
Cameroon,CMR,African Region,2022/8/5,7,0,0,0,0,0,44778
Cameroon,CMR,African Region,2022/8/8,7,0,0,0,0,0,44781
Cameroon,CMR,African Region,2022/8/9,7,0,0,0,0,0,44782
Cameroon,CMR,African Region,2022/8/10,7,0,0,0,0,0,44783
Cameroon,CMR,African Region,2022/8/11,7,0,0,0,0,0,44784
Cameroon,CMR,African Region,2022/8/12,7,0,0,0,0,0,44785
Cameroon,CMR,African Region,2022/8/15,7,0,0,0,0,0,44788
Cameroon,CMR,African Region,2022/8/16,7,0,0,0,0,0,44789
Cameroon,CMR,African Region,2022/8/17,7,0,0,0,0,0,44790
Cameroon,CMR,African Region,2022/8/18,7,0,0,0,0,0,44791
Cameroon,CMR,African Region,2022/8/19,7,0,0,0,0,0,44792
Cameroon,CMR,African Region,2022/8/22,7,0,0,0,0,0,44795
Cameroon,CMR,African Region,2022/8/23,7,0,0,0,0,0,44796
Cameroon,CMR,African Region,2022/8/24,7,0,0,0,0,0,44797
Cameroon,CMR,African Region,2022/8/25,7,0,0,0,0,0,44798
Cameroon,CMR,African Region,2022/8/26,7,0,0,0,0,0,44799
Cameroon,CMR,African Region,2022/8/29,7,0,0,0,0,0,44802
Cameroon,CMR,African Region,2022/8/30,7,0,0,0,0,0,44803
Cameroon,CMR,African Region,2022/8/31,7,0,0,0,0,0,44804
Cameroon,CMR,African Region,2022/9/1,7,0,0,0,0,0,44805
Cameroon,CMR,African Region,2022/9/2,7,0,0,0,0,0,44806
Cameroon,CMR,African Region,2022/9/5,7,0,0,0,0,0,44809
Cameroon,CMR,African Region,2022/9/6,7,0,0,0,0,0,44810
Cameroon,CMR,African Region,2022/9/7,7,0,0,0,0,0,44811
Cameroon,CMR,African Region,2022/9/8,7,0,2,0,0,2,44812
Cameroon,CMR,African Region,2022/9/9,7,0,2,0,0,0,44813
Cameroon,CMR,African Region,2022/9/12,7,0,2,0,0,0,44816
Cameroon,CMR,African Region,2022/9/13,7,0,2,0,0,0,44817
Cameroon,CMR,African Region,2022/9/14,7,0,2,0,0,0,44818
Cameroon,CMR,African Region,2022/9/15,7,0,2,0,0,0,44819
Central African Republic,CAF,African Region,2022/2/13,1,0,0,1,0,0,44605
Central African Republic,CAF,African Region,2022/2/20,2,0,0,1,0,0,44612
Central African Republic,CAF,African Region,2022/7/3,3,0,2,1,0,2,44745
Central African Republic,CAF,African Region,2022/7/18,3,0,2,0,0,0,44760
Central African Republic,CAF,African Region,2022/7/19,3,0,2,0,0,0,44761
Central African Republic,CAF,African Region,2022/7/20,3,0,2,0,0,0,44762
