country,iso3,who_region,date,total_confirmed_cases,total_probable_cases,total_deaths,new_confirmed_cases,new_probable_cases,new_deaths,reference_date_in_num
Benin,BEN,African Region,2022/6/15,3,0,0,3,0,0,44727
Benin,BEN,African Region,2022/7/18,3,0,0,0,0,0,44760
Benin,BEN,African Region,2022/7/19,3,0,0,0,0,0,44761
Benin,BEN,African Region,2022/7/20,3,0,0,0,0,0,44762
Benin,BEN,African Region,2022/7/21,3,0,0,0,0,0,44763
Benin,BEN,African Region,2022/7/22,3,0,0,0,0,0,44764
Benin,BEN,African Region,2022/7/25,3,0,0,0,0,0,44767
Benin,BEN,African Region,2022/7/26,3,0,0,0,0,0,44768
Benin,BEN,African Region,2022/7/27,3,0,0,0,0,0,44769
Benin,BEN,African Region,2022/7/28,3,0,0,0,0,0,44770
Benin,BEN,African Region,2022/7/29,3,0,0,0,0,0,44771
Benin,BEN,African Region,2022/8/1,3,0,0,0,0,0,44774
Benin,BEN,African Region,2022/8/2,3,0,0,0,0,0,44775
Benin,BEN,African Region,2022/8/3,3,0,0,0,0,0,44776
Benin,BEN,African Region,2022/8/4,3,0,0,0,0,0,44777
Benin,BEN,African Region,2022/8/5,3,0,0,0,0,0,44778
Benin,BEN,African Region,2022/8/8,3,0,0,0,0,0,44781
Benin,BEN,African Region,2022/8/9,3,0,0,0,0,0,44782
Benin,BEN,African Region,2022/8/10,3,0,0,0,0,0,44783
Benin,BEN,African Region,2022/8/11,3,0,0,0,0,0,44784
Benin,BEN,African Region,2022/8/12,3,0,0,0,0,0,44785
Benin,BEN,African Region,2022/8/15,3,0,0,0,0,0,44788
Benin,BEN,African Region,2022/8/16,3,0,0,0,0,0,44789
Benin,BEN,African Region,2022/8/17,3,0,0,0,0,0,44790
Benin,BEN,African Region,2022/8/18,3,0,0,0,0,0,44791
Benin,BEN,African Region,2022/8/19,3,0,0,0,0,0,44792
Benin,BEN,African Region,2022/8/22,3,0,0,0,0,0,44795
Benin,BEN,African Region,2022/8/23,3,0,0,0,0,0,44796
Benin,BEN,African Region,2022/8/24,3,0,0,0,0,0,44797
Benin,BEN,African Region,2022/8/25,3,0,0,0,0,0,44798
Benin,BEN,African Region,2022/8/26,3,0,0,0,0,0,44799
Benin,BEN,African Region,2022/8/29,3,0,0,0,0,0,44802
Benin,BEN,African Region,2022/8/30,3,0,0,0,0,0,44803
Benin,BEN,African Region,2022/8/31,3,0,0,0,0,0,44804
Benin,BEN,African Region,2022/9/1,3,0,0,0,0,0,44805
Benin,BEN,African Region,2022/9/2,3,0,0,0,0,0,44806
Benin,BEN,African Region,2022/9/5,3,0,0,0,0,0,44809
Benin,BEN,African Region,2022/9/6,3,0,0,0,0,0,44810
Benin,BEN,African Region,2022/9/7,3,0,0,0,0,0,44811
Benin,BEN,African Region,2022/9/8,3,0,0,0,0,0,44812
Benin,BEN,African Region,2022/9/9,3,0,0,0,0,0,44813
Benin,BEN,African Region,2022/9/12,3,0,0,0,0,0,44816
Benin,BEN,African Region,2022/9/13,3,0,0,0,0,0,44817
Benin,BEN,African Region,2022/9/14,3,0,0,0,0,0,44818
Benin,BEN,African Region,2022/9/15,3,0,0,0,0,0,44819
Benin,BEN,African Region,2022/9/16,3,0,0,0,0,0,44820
Benin,BEN,African Region,2022/9/19,3,0,0,0,0,0,44823
Benin,BEN,African Region,2022/9/20,3,0,0,0,0,0,44824
Benin,BEN,African Region,2022/9/21,3,0,0,0,0,0,44825
Benin,BEN,African Region,2022/9/22,3,0,0,0,0,0,44826
Benin,BEN,African Region,2022/9/23,3,0,0,0,0,0,44827
Benin,BEN,African Region,2022/9/26,3,0,0,0,0,0,44830
Benin,BEN,African Region,2022/9/27,3,0,0,0,0,0,44831
Benin,BEN,African Region,2022/9/28,3,0,0,0,0,0,44832
Benin,BEN,African Region,2022/9/29,3,0,0,0,0,0,44833
Benin,BEN,African Region,2022/9/30,3,0,0,0,0,0,44834
Benin,BEN,African Region,2022/10/3,3,0,0,0,0,0,44837
Benin,BEN,African Region,2022/10/4,3,0,0,0,0,0,44838
Benin,BEN,African Region,2022/10/5,3,0,0,0,0,0,44839
Benin,BEN,African Region,2022/10/6,3,0,0,0,0,0,44840
Benin,BEN,African Region,2022/10/7,3,0,0,0,0,0,44841
Benin,BEN,African Region,2022/10/10,3,0,0,0,0,0,44844
Benin,BEN,African Region,2022/10/11,3,0,0,0,0,0,44845
Benin,BEN,African Region,2022/10/12,3,0,0,0,0,0,44846
Benin,BEN,African Region,2022/10/13,3,0,0,0,0,0,44847
Benin,BEN,African Region,2022/10/14,3,0,0,0,0,0,44848
Benin,BEN,African Region,2022/10/17,3,0,0,0,0,0,44851
Benin,BEN,African Region,2022/10/18,3,0,0,0,0,0,44852
Benin,BEN,African Region,2022/10/19,3,0,0,0,0,0,44853
Benin,BEN,African Region,2022/10/20,3,0,0,0,0,0,44854
Benin,BEN,African Region,2022/10/21,3,0,0,0,0,0,44855
Benin,BEN,African Region,2022/10/24,3,0,0,0,0,0,44858
Benin,BEN,African Region,2022/10/25,3,0,0,0,0,0,44859
Benin,BEN,African Region,2022/10/26,3,0,0,0,0,0,44860
Cameroon,CMR,African Region,2022/6/13,3,0,0,3,0,0,44725
Cameroon,CMR,African Region,2022/7/3,4,0,0,1,0,0,44745
Cameroon,CMR,African Region,2022/7/12,7,0,0,3,0,0,44754
Cameroon,CMR,African Region,2022/7/18,7,0,0,0,0,0,44760
Cameroon,CMR,African Region,2022/7/19,7,0,0,0,0,0,44761
Cameroon,CMR,African Region,2022/7/20,7,0,0,0,0,0,44762
Cameroon,CMR,African Region,2022/7/21,7,0,0,0,0,0,44763
Cameroon,CMR,African Region,2022/7/22,7,0,0,0,0,0,44764
Cameroon,CMR,African Region,2022/7/25,7,0,0,0,0,0,44767
Cameroon,CMR,African Region,2022/7/26,7,0,0,0,0,0,44768
Cameroon,CMR,African Region,2022/7/27,7,0,0,0,0,0,44769
Cameroon,CMR,African Region,2022/7/28,7,0,0,0,0,0,44770
Cameroon,CMR,African Region,2022/7/29,7,0,0,0,0,0,44771
Cameroon,CMR,African Region,2022/8/1,7,0,0,0,0,0,44774
Cameroon,CMR,African Region,2022/8/2,7,0,0,0,0,0,44775
Cameroon,CMR,African Region,2022/8/3,7,0,0,0,0,0,44776
Cameroon,CMR,African Region,2022/8/4,7,0,0,0,0,0,44777
Cameroon,CMR,African Region,2022/8/5,7,0,0,0,0,0,44778
Cameroon,CMR,African Region,2022/8/8,7,0,0,0,0,0,44781
Cameroon,CMR,African Region,2022/8/9,7,0,0,0,0,0,44782
Cameroon,CMR,African Region,2022/8/10,7,0,0,0,0,0,44783
Cameroon,CMR,African Region,2022/8/11,7,0,0,0,0,0,44784
Cameroon,CMR,African Region,2022/8/12,7,0,0,0,0,0,44785
Cameroon,CMR,African Region,2022/8/15,7,0,0,0,0,0,44788
Cameroon,CMR,African Region,2022/8/16,7,0,0,0,0,0,44789
