land_city,city_GDP
Beijing,36102
Changchun,6638
Changsha,12142
Chengdu,16106
chongqing,25002
Dalian,7030
Fuzhou,10020
Ganzhou,4169
Guangzhou,25019
Haikou,2057
Hangzhou,16106
Harbin,5183
Hohhot,3121
Hongkong,25767
Jinan,10140
Kaohsiung,4851
Kunming,6733
Lanzhou,3231
Macao,1929
Nanchang,5745
Nanjing,14817
Nanning,4726
Ningbo,12408
Qingdao,12400
Shanghai,38700
Shenyang,6571
Shenzhen,27670
Tainan,3346
Taipei,7793
Taiyuan,5121
Taoyuan,4200
Tianjin,14083
Urumqi,3691
Weihai,3463
Wuhan,15622
Wuxi,12370
Xiamen,6384
Xi'an,10020
Yantai,7816
Yiwu,1730
Zhengzhou,12003
