departure_country,land_city,flights_in_month,flight_days,month
Denmark,Shanghai,5,5,2022-05
Denmark,Shanghai,4,4,2022-06
Denmark,Shanghai,2,2,2022-07
Denmark,Beijing,19,15,2022-05
Denmark,Beijing,17,13,2022-06
Denmark,Beijing,4,4,2022-07
Denmark,Xi'an,2,2,2022-07
Uzbekistan,Shanghai,6,6,2022-05
Uzbekistan,Shanghai,10,10,2022-06
Uzbekistan,Shanghai,16,16,2022-07
Uzbekistan,Beijing,1,1,2022-05
Uzbekistan,Tianjin,2,1,2022-07
Uzbekistan,Guangzhou,1,1,2022-05
Uzbekistan,Chengdu,3,3,2022-05
Uzbekistan,Chengdu,10,10,2022-06
Uzbekistan,Chengdu,7,6,2022-07
Uzbekistan,Shenzhen,1,1,2022-05
Uzbekistan,Hongkong,13,10,2022-05
Uzbekistan,Hongkong,20,17,2022-06
Uzbekistan,Hongkong,17,16,2022-07
Israel,Chengdu,27,21,2022-05
Israel,Chengdu,27,20,2022-06
Israel,Chengdu,20,16,2022-07
Israel,Hongkong,13,13,2022-05
Israel,Hongkong,16,16,2022-06
Israel,Hongkong,5,5,2022-07
Iraq,chongqing,1,1,2022-06
Iran,Guangzhou,14,14,2022-05
Iran,Guangzhou,17,17,2022-06
Iran,Guangzhou,13,13,2022-07
Russia,Shanghai,2,2,2022-07
Russia,Urumqi,6,6,2022-06
Russia,Urumqi,5,5,2022-07
Russia,Lanzhou,1,1,2022-06
Russia,Lanzhou,1,1,2022-07
Russia,Beijing,20,19,2022-05
Russia,Beijing,18,16,2022-06
Russia,Beijing,9,8,2022-07
Russia,Nanjing,1,1,2022-05
Russia,Nanjing,2,2,2022-06
Russia,Nanjing,1,1,2022-07
Russia,Harbin,1,1,2022-07
Russia,Dalian,1,1,2022-07
Russia,Guangzhou,4,4,2022-06
Russia,Guangzhou,4,4,2022-07
Russia,Chengdu,2,2,2022-05
Russia,Chengdu,4,4,2022-06
Russia,Chengdu,4,4,2022-07
Russia,Shenyang,2,2,2022-07
Russia,Jinan,1,1,2022-07
Russia,Shenzhen,3,3,2022-07
Russia,Xi'an,11,8,2022-07
Russia,Zhengzhou,1,1,2022-06
Russia,Zhengzhou,4,4,2022-07
Russia,Changchun,1,1,2022-07
Russia,Qingdao,1,1,2022-05
Russia,Qingdao,2,2,2022-06
Russia,Qingdao,1,1,2022-07
Russia,Hongkong,1,1,2022-06
Guam,Shanghai,5,5,2022-05
Guam,Shanghai,4,4,2022-06
Guam,Shanghai,4,4,2022-07
Guam,Xiamen,1,1,2022-05
Guam,Xiamen,6,6,2022-06
Guam,Xiamen,1,1,2022-07
Guam,Ningbo,1,1,2022-05
Guam,Hongkong,19,14,2022-05
Guam,Hongkong,14,14,2022-06
Guam,Hongkong,14,10,2022-07
Guinea,Wuhan,1,1,2022-06
Canada,Shanghai,31,22,2022-05
Canada,Shanghai,36,28,2022-06
Canada,Shanghai,41,31,2022-07
Canada,Beijing,21,19,2022-05
Canada,Beijing,15,12,2022-06
Canada,Beijing,7,7,2022-07
Canada,Xiamen,5,5,2022-05
Canada,Xiamen,4,4,2022-06
Canada,Xiamen,4,4,2022-07
Canada,Taipei,62,31,2022-05
Canada,Taipei,64,29,2022-06
Canada,Taipei,69,31,2022-07
Canada,Guangzhou,68,31,2022-05
Canada,Guangzhou,62,30,2022-06
Canada,Guangzhou,49,29,2022-07
Canada,Chengdu,4,4,2022-05
Canada,Chengdu,5,5,2022-06
Canada,Chengdu,4,4,2022-07
Canada,Hangzhou,2,2,2022-05
Canada,Hangzhou,2,2,2022-06
Canada,Shenzhen,4,4,2022-06
Canada,Shenzhen,4,4,2022-07
Canada,Zhengzhou,9,9,2022-05
Canada,Zhengzhou,14,14,2022-06
Canada,Zhengzhou,12,12,2022-07
Canada,Hongkong,12,11,2022-05
Canada,Hongkong,24,18,2022-06
