country,iso3,who_region,date,new_cases
Benin,BEN,African Region,2022/6/15,3
Benin,BEN,African Region,2022/7/18,0
Benin,BEN,African Region,2022/7/19,0
Benin,BEN,African Region,2022/7/20,0
Benin,BEN,African Region,2022/7/21,0
Benin,BEN,African Region,2022/7/22,0
Benin,BEN,African Region,2022/7/25,0
Benin,BEN,African Region,2022/7/26,0
Benin,BEN,African Region,2022/7/27,0
Benin,BEN,African Region,2022/7/28,0
Benin,BEN,African Region,2022/7/29,0
Benin,BEN,African Region,2022/8/1,0
Benin,BEN,African Region,2022/8/2,0
Benin,BEN,African Region,2022/8/3,0
Benin,BEN,African Region,2022/8/4,0
Benin,BEN,African Region,2022/8/5,0
Benin,BEN,African Region,2022/8/8,0
Benin,BEN,African Region,2022/8/9,0
Benin,BEN,African Region,2022/8/10,0
Benin,BEN,African Region,2022/8/11,0
Benin,BEN,African Region,2022/8/12,0
Benin,BEN,African Region,2022/8/15,0
Benin,BEN,African Region,2022/8/16,0
Benin,BEN,African Region,2022/8/17,0
Benin,BEN,African Region,2022/8/18,0
Benin,BEN,African Region,2022/8/19,0
Benin,BEN,African Region,2022/8/22,0
Benin,BEN,African Region,2022/8/23,0
Benin,BEN,African Region,2022/8/24,0
Benin,BEN,African Region,2022/8/25,0
Benin,BEN,African Region,2022/8/26,0
Benin,BEN,African Region,2022/8/29,0
Benin,BEN,African Region,2022/8/30,0
Benin,BEN,African Region,2022/8/31,0
Benin,BEN,African Region,2022/9/1,0
Benin,BEN,African Region,2022/9/2,0
Benin,BEN,African Region,2022/9/5,0
Benin,BEN,African Region,2022/9/6,0
Benin,BEN,African Region,2022/9/7,0
Benin,BEN,African Region,2022/9/8,0
Benin,BEN,African Region,2022/9/9,0
Benin,BEN,African Region,2022/9/12,0
Benin,BEN,African Region,2022/9/13,0
Benin,BEN,African Region,2022/9/14,0
Benin,BEN,African Region,2022/9/15,0
Benin,BEN,African Region,2022/9/16,0
Benin,BEN,African Region,2022/9/19,0
Benin,BEN,African Region,2022/9/20,0
Benin,BEN,African Region,2022/9/21,0
Benin,BEN,African Region,2022/9/22,0
Benin,BEN,African Region,2022/9/23,0
Benin,BEN,African Region,2022/9/26,0
Benin,BEN,African Region,2022/9/27,0
Benin,BEN,African Region,2022/9/28,0
Benin,BEN,African Region,2022/9/29,0
Benin,BEN,African Region,2022/9/30,0
Benin,BEN,African Region,2022/10/3,0
Benin,BEN,African Region,2022/10/4,0
Benin,BEN,African Region,2022/10/5,0
Benin,BEN,African Region,2022/10/6,0
Benin,BEN,African Region,2022/10/7,0
Benin,BEN,African Region,2022/10/10,0
Benin,BEN,African Region,2022/10/11,0
Benin,BEN,African Region,2022/10/12,0
Benin,BEN,African Region,2022/10/13,0
Benin,BEN,African Region,2022/10/14,0
Benin,BEN,African Region,2022/10/17,0
