"","time","date","country","iso3","risk_mean","risk_sd","Risk_p_mean","Risk_p_sd","stringency_index"
"1",19119,2022-05-07,"Andorra","AND",0,0,0,0,8.33
"2",19119,2022-05-07,"Argentina","ARG",0.112775862613826,0.0421866560584129,0.136847303256675,0.0511911856066168,17.59
"3",19119,2022-05-07,"Aruba","ABW",0,0,0,0,25.93
"4",19119,2022-05-07,"Australia","AUS",0.134093465155516,0.00806446861686867,0.212509453495271,0.0127804573959884,36.9
"5",19119,2022-05-07,"Austria","AUT",0.131980452069907,0.00923867551822405,0.212734448855427,0.0148914821376919,37.96
"6",19119,2022-05-07,"Bahamas","BHS",0,0,0,0,46.71
"7",19119,2022-05-07,"Bahrain","BHR",0,0,0,0,11.11
"8",19119,2022-05-07,"Barbados","BRB",0,0,0,0,39.01
"9",19119,2022-05-07,"Belgium","BEL",0.20417264461101,0.0150712735989644,0.247752268670077,0.0182881611442354,17.59
"10",19119,2022-05-07,"Benin","BEN",0,0,0,0,13.89
"11",19119,2022-05-07,"Bermuda","BMU",0,0,0,0,16.06
"12",19119,2022-05-07,"Bolivia (Plurinational State of)","BOL",0.0603542473208277,0.044302124317461,0.07948669474625,0.0583460085835124,24.07
"13",19119,2022-05-07,"Bosnia and Herzegovina","BIH",0,0,0,0,36.11
"14",19119,2022-05-07,"Brazil","BRA",0.154452551669212,0.0201115394216641,0.218245798599988,0.0284181707244088,29.23
"15",19119,2022-05-07,"Bulgaria","BGR",0,0,0,0,11.11
"16",19119,2022-05-07,"Cameroon","CMR",0,0,0,0,27.78
"17",19119,2022-05-07,"Canada","CAN",0.156388831966082,0.00983996302528796,0.19846298472853,0.0124872627224467,21.2
"18",19119,2022-05-07,"Central African Republic","CAF",0,0,0,0,18.52
"19",19119,2022-05-07,"Chile","CHL",0.131896314540875,0.0182636006070018,0.180704636992567,0.0250220586477624,27.01
"20",19119,2022-05-07,"China","CHN",0,0,0,0,79.17
"21",19119,2022-05-07,"Colombia","COL",0.0626462208919864,0.037047295945076,0.0803465703372918,0.0475148081891445,22.03
"22",19119,2022-05-07,"Congo","COG",0,0,0,0,37.4
"23",19119,2022-05-07,"Costa Rica","CRI",0,0,0,0,11.11
"24",19119,2022-05-07,"Croatia","HRV",0,0,0,0,5.56
"25",19119,2022-05-07,"Cuba","CUB",0,0,0,0,18.52
"26",19119,2022-05-07,"Cura鑾絘o","CUW",0,0,0,0,15.66
"27",19119,2022-05-07,"Cyprus","CYP",0,0,0,0,39.67
"28",19119,2022-05-07,"Czechia","CZE",0.136587566485978,0.0139244304531384,0.160332863582554,0.0163451466758286,14.81
"29",19119,2022-05-07,"Democratic Republic of the Congo","COD",0,0,0,0,28.7
"30",19119,2022-05-07,"Denmark","DNK",0.189515704071488,0.0165467707320656,0.213202502049148,0.018614884387519,11.11
"31",19119,2022-05-07,"Dominican Republic","DOM",0,0,0,0,5.56
"32",19119,2022-05-07,"Ecuador","ECU",0.0846880534978433,0.0408525042028741,0.113143692047887,0.0545791639316955,25.15
"33",19119,2022-05-07,"Egypt","EGY",0,0,0,0,40.74
"34",19119,2022-05-07,"El Salvador","SLV",0,0,0,0,28.63
"35",19119,2022-05-07,"Estonia","EST",0,0,0,0,22.32
"36",19119,2022-05-07,"Finland","FIN",0,0,0,0,26.85
"37",19119,2022-05-07,"France","FRA",0.214010271874257,0.0140665934212998,0.263526994057699,0.017321257753109,18.79
"38",19119,2022-05-07,"Georgia","GEO",0,0,0,0,17.59
"39",19119,2022-05-07,"Germany","DEU",0.215829251757931,0.0146805260467421,0.274243013669544,0.0186537815079315,21.3
"40",19119,2022-05-07,"Ghana","GHA",0,0,0,0,45.13
"41",19119,2022-05-07,"Gibraltar","GIB",0,0,0,0,27.59
"42",19119,2022-05-07,"Greece","GRC",0.148189564273171,0.0171244049551055,0.197770671657775,0.0228538702190117,25.07
"43",19119,2022-05-07,"Greenland","GRL",0,0,0,0,16.52
"44",19119,2022-05-07,"Guadeloupe","GLP",0,0,0,0,18.79
"45",19119,2022-05-07,"Guam","GUM",0,0,0,0,27.96
"46",19119,2022-05-07,"Guatemala","GTM",0.0787932444460307,0.0101948632413991,0.147996326908397,0.0191488791160765,46.76
"47",19119,2022-05-07,"Guyana","GUY",0,0,0,0,25.85
"48",19119,2022-05-07,"Honduras","HND",0,0,0,0,30.73
"49",19119,2022-05-07,"Hungary","HUN",0.186644024353703,0.0155789360613863,0.209971902749131,0.0175260839930096,11.11
"50",19119,2022-05-07,"Iceland","ISL",0,0,0,0,11.11
"51",19119,2022-05-07,"India","IND",0,0,0,0,37.04
"52",19119,2022-05-07,"Indonesia","IDN",0,0,0,0,44.96
"53",19119,2022-05-07,"Iran (Islamic Republic of)","IRN",0,0,0,0,59.1
"54",19119,2022-05-07,"Ireland","IRL",0.189401351392337,0.0119516638529403,0.213073856893168,0.0134454537663858,11.11
"55",19119,2022-05-07,"Israel","ISR",0.18257461636951,0.0137441879149321,0.221544249932666,0.0166778156958283,17.59
"56",19119,2022-05-07,"Italy","ITA",0.18281376293109,0.0141081147900564,0.236010538253409,0.0182134195585546,22.54
"57",19119,2022-05-07,"Jamaica","JAM",0,0,0,0,11.11
"58",19119,2022-05-07,"Japan","JPN",0,0,0,0,45.37
