iso_code,continent,location,date,stringency_index
AFG,Asia,Afghanistan,2022/5/7,16.67
AFG,Asia,Afghanistan,2022/5/8,16.67
AFG,Asia,Afghanistan,2022/5/9,16.67
AFG,Asia,Afghanistan,2022/5/10,11.11
AFG,Asia,Afghanistan,2022/5/11,11.11
AFG,Asia,Afghanistan,2022/5/12,11.11
AFG,Asia,Afghanistan,2022/5/13,11.11
AFG,Asia,Afghanistan,2022/5/14,11.11
AFG,Asia,Afghanistan,2022/5/15,11.11
AFG,Asia,Afghanistan,2022/5/16,11.11
AFG,Asia,Afghanistan,2022/5/17,11.11
AFG,Asia,Afghanistan,2022/5/18,11.11
AFG,Asia,Afghanistan,2022/5/19,11.11
AFG,Asia,Afghanistan,2022/5/20,11.11
AFG,Asia,Afghanistan,2022/5/21,11.11
AFG,Asia,Afghanistan,2022/5/22,11.11
AFG,Asia,Afghanistan,2022/5/23,11.11
AFG,Asia,Afghanistan,2022/5/24,11.11
AFG,Asia,Afghanistan,2022/5/25,11.11
AFG,Asia,Afghanistan,2022/5/26,11.11
AFG,Asia,Afghanistan,2022/5/27,11.11
AFG,Asia,Afghanistan,2022/5/28,11.11
AFG,Asia,Afghanistan,2022/5/29,11.11
AFG,Asia,Afghanistan,2022/5/30,11.11
AFG,Asia,Afghanistan,2022/5/31,11.11
AFG,Asia,Afghanistan,2022/6/1,11.11
AFG,Asia,Afghanistan,2022/6/2,11.11
AFG,Asia,Afghanistan,2022/6/3,11.11
AFG,Asia,Afghanistan,2022/6/4,11.11
AFG,Asia,Afghanistan,2022/6/5,11.11
AFG,Asia,Afghanistan,2022/6/6,11.11
AFG,Asia,Afghanistan,2022/6/7,11.11
AFG,Asia,Afghanistan,2022/6/8,11.11
AFG,Asia,Afghanistan,2022/6/9,11.11
AFG,Asia,Afghanistan,2022/6/10,11.11
AFG,Asia,Afghanistan,2022/6/11,11.11
AFG,Asia,Afghanistan,2022/6/12,11.11
AFG,Asia,Afghanistan,2022/6/13,11.11
AFG,Asia,Afghanistan,2022/6/14,11.11
AFG,Asia,Afghanistan,2022/6/15,11.11
AFG,Asia,Afghanistan,2022/6/16,11.11
AFG,Asia,Afghanistan,2022/6/17,11.11
AFG,Asia,Afghanistan,2022/6/18,11.11
